"subject","difficulty","curve","question_number","action","frustrate"
15,"easy","non","1",2,5
15,"easy","non","2",1,NA
15,"easy","non","3",2,NA
15,"easy","non","4",1,NA
16,"diff","com","1",3,5
16,"diff","com","2",2,NA
16,"diff","com","3",5,NA
16,"diff","com","4",1,NA
16,"diff","non","1",3,5
16,"diff","non","2",1,NA
16,"diff","non","3",5,NA
16,"diff","non","4",1,NA
16,"easy","com","1",2,5
16,"easy","com","2",1,NA
16,"easy","com","3",4,NA
16,"easy","com","4",1,NA
16,"easy","non","1",3,4
16,"easy","non","2",1,NA
16,"easy","non","3",4,NA
16,"easy","non","4",1,NA
17,"diff","com","1",4,7
17,"diff","com","2",4,NA
17,"diff","com","3",7,NA
17,"diff","com","4",2,NA
17,"diff","non","1",2,5
17,"diff","non","2",2,NA
17,"diff","non","3",5,NA
17,"diff","non","4",1,NA
17,"easy","com","1",3,6
17,"easy","com","2",3,NA
17,"easy","com","3",5,NA
17,"easy","com","4",1,NA
17,"easy","non","1",2,4
17,"easy","non","2",2,NA
17,"easy","non","3",3,NA
17,"easy","non","4",1,NA
18,"diff","com","1",2,3
18,"diff","com","2",1,NA
18,"diff","com","3",2,NA
18,"diff","com","4",1,NA
18,"diff","non","1",1,2
18,"diff","non","2",1,NA
18,"diff","non","3",2,NA
18,"diff","non","4",1,NA
18,"easy","com","1",1,2
18,"easy","com","2",1,NA
18,"easy","com","3",2,NA
18,"easy","com","4",1,NA
18,"easy","non","1",1,2
18,"easy","non","2",2,NA
18,"easy","non","3",3,NA
18,"easy","non","4",1,NA
19,"diff","com","1",2,5
19,"diff","com","2",1,NA
19,"diff","com","3",3,NA
19,"diff","com","4",1,NA
19,"diff","non","1",1,4
19,"diff","non","2",1,NA
19,"diff","non","3",2,NA
19,"diff","non","4",1,NA
19,"easy","com","1",1,4
19,"easy","com","2",1,NA
19,"easy","com","3",2,NA
19,"easy","com","4",1,NA
19,"easy","non","1",2,3
19,"easy","non","2",1,NA
19,"easy","non","3",2,NA
19,"easy","non","4",1,NA
20,"diff","com","1",5,7
20,"diff","com","2",4,NA
20,"diff","com","3",6,NA
20,"diff","com","4",1,NA
20,"diff","non","1",1,7
20,"diff","non","2",1,NA
20,"diff","non","3",1,NA
20,"diff","non","4",1,NA
20,"easy","com","1",1,5
20,"easy","com","2",1,NA
20,"easy","com","3",1,NA
20,"easy","com","4",1,NA
20,"easy","non","1",1,2
20,"easy","non","2",1,NA
20,"easy","non","3",1,NA
20,"easy","non","4",1,NA
21,"diff","com","1",1,7
21,"diff","com","2",1,NA
21,"diff","com","3",1,NA
21,"diff","com","4",1,NA
21,"diff","non","1",1,7
21,"diff","non","2",1,NA
21,"diff","non","3",1,NA
21,"diff","non","4",1,NA
21,"easy","com","1",1,6
21,"easy","com","2",1,NA
21,"easy","com","3",1,NA
21,"easy","com","4",1,NA
21,"easy","non","1",1,3
21,"easy","non","2",1,NA
21,"easy","non","3",1,NA
21,"easy","non","4",1,NA
22,"diff","com","1",2,6
22,"diff","com","2",1,NA
22,"diff","com","3",2,NA
22,"diff","com","4",1,NA
22,"diff","non","1",2,5
22,"diff","non","2",1,NA
22,"diff","non","3",1,NA
22,"diff","non","4",1,NA
22,"easy","com","1",3,6
22,"easy","com","2",2,NA
22,"easy","com","3",3,NA
22,"easy","com","4",1,NA
22,"easy","non","1",1,1
22,"easy","non","2",1,NA
22,"easy","non","3",1,NA
22,"easy","non","4",1,NA
23,"diff","com","1",1,5
23,"diff","com","2",1,NA
23,"diff","com","3",1,NA
23,"diff","com","4",1,NA
23,"diff","non","1",1,5
23,"diff","non","2",1,NA
23,"diff","non","3",1,NA
23,"diff","non","4",1,NA
23,"easy","com","1",1,4
23,"easy","com","2",1,NA
23,"easy","com","3",1,NA
23,"easy","com","4",1,NA
23,"easy","non","1",1,2
23,"easy","non","2",1,NA
23,"easy","non","3",1,NA
23,"easy","non","4",1,NA
24,"diff","com","1",1,6
24,"diff","com","2",1,NA
24,"diff","com","3",1,NA
24,"diff","com","4",1,NA
24,"diff","non","1",1,5
24,"diff","non","2",1,NA
24,"diff","non","3",1,NA
24,"diff","non","4",1,NA
24,"easy","com","1",1,5
24,"easy","com","2",1,NA
24,"easy","com","3",1,NA
24,"easy","com","4",1,NA
24,"easy","non","1",1,5
24,"easy","non","2",1,NA
24,"easy","non","3",1,NA
24,"easy","non","4",1,NA
25,"diff","com","1",1,7
25,"diff","com","2",1,NA
25,"diff","com","3",1,NA
25,"diff","com","4",1,NA
25,"diff","non","1",1,7
25,"diff","non","2",1,NA
25,"diff","non","3",1,NA
25,"diff","non","4",1,NA
25,"easy","com","1",1,7
25,"easy","com","2",1,NA
25,"easy","com","3",1,NA
25,"easy","com","4",1,NA
25,"easy","non","1",1,7
25,"easy","non","2",1,NA
25,"easy","non","3",1,NA
25,"easy","non","4",1,NA
26,"diff","com","1",2,6
26,"diff","com","2",5,NA
26,"diff","com","3",6,NA
26,"diff","com","4",2,NA
26,"diff","non","1",2,4
26,"diff","non","2",4,NA
26,"diff","non","3",5,NA
26,"diff","non","4",2,NA
26,"easy","com","1",3,6
26,"easy","com","2",4,NA
26,"easy","com","3",6,NA
26,"easy","com","4",3,NA
26,"easy","non","1",2,5
26,"easy","non","2",2,NA
26,"easy","non","3",4,NA
26,"easy","non","4",3,NA
27,"diff","com","1",2,6
27,"diff","com","2",2,NA
27,"diff","com","3",4,NA
27,"diff","com","4",3,NA
27,"diff","non","1",2,6
27,"diff","non","2",2,NA
27,"diff","non","3",2,NA
27,"diff","non","4",3,NA
27,"easy","com","1",2,5
27,"easy","com","2",2,NA
27,"easy","com","3",2,NA
27,"easy","com","4",2,NA
27,"easy","non","1",1,4
27,"easy","non","2",2,NA
27,"easy","non","3",2,NA
27,"easy","non","4",4,NA
28,"diff","com","1",1,6
28,"diff","com","2",1,NA
28,"diff","com","3",1,NA
28,"diff","com","4",1,NA
28,"diff","non","1",1,5
28,"diff","non","2",1,NA
28,"diff","non","3",1,NA
28,"diff","non","4",1,NA
28,"easy","com","1",1,5
28,"easy","com","2",1,NA
28,"easy","com","3",1,NA
28,"easy","com","4",1,NA
28,"easy","non","1",1,5
28,"easy","non","2",1,NA
28,"easy","non","3",1,NA
28,"easy","non","4",1,NA
29,"diff","com","1",5,7
29,"diff","com","2",3,NA
29,"diff","com","3",5,NA
29,"diff","com","4",1,NA
29,"diff","non","1",3,5
29,"diff","non","2",2,NA
29,"diff","non","3",3,NA
29,"diff","non","4",2,NA
29,"easy","com","1",4,5
29,"easy","com","2",3,NA
29,"easy","com","3",5,NA
29,"easy","com","4",3,NA
29,"easy","non","1",1,3
29,"easy","non","2",1,NA
29,"easy","non","3",2,NA
29,"easy","non","4",1,NA
30,"diff","com","1",2,7
30,"diff","com","2",2,NA
30,"diff","com","3",3,NA
30,"diff","com","4",2,NA
30,"diff","non","1",1,5
30,"diff","non","2",1,NA
30,"diff","non","3",1,NA
30,"diff","non","4",1,NA
30,"easy","com","1",2,6
30,"easy","com","2",2,NA
30,"easy","com","3",3,NA
30,"easy","com","4",1,NA
30,"easy","non","1",1,5
30,"easy","non","2",1,NA
30,"easy","non","3",1,NA
30,"easy","non","4",1,NA
31,"diff","com","1",3,6
31,"diff","com","2",4,NA
31,"diff","com","3",4,NA
31,"diff","com","4",2,NA
31,"diff","non","1",2,3
31,"diff","non","2",2,NA
31,"diff","non","3",3,NA
31,"diff","non","4",3,NA
31,"easy","com","1",2,5
31,"easy","com","2",2,NA
31,"easy","com","3",3,NA
31,"easy","com","4",2,NA
31,"easy","non","1",2,2
31,"easy","non","2",3,NA
31,"easy","non","3",3,NA
31,"easy","non","4",2,NA
32,"diff","com","1",4,7
32,"diff","com","2",7,NA
32,"diff","com","3",7,NA
32,"diff","com","4",5,NA
32,"diff","non","1",1,7
32,"diff","non","2",4,NA
32,"diff","non","3",7,NA
32,"diff","non","4",1,NA
32,"easy","com","1",3,6
32,"easy","com","2",6,NA
32,"easy","com","3",7,NA
32,"easy","com","4",1,NA
32,"easy","non","1",1,4
32,"easy","non","2",2,NA
32,"easy","non","3",4,NA
32,"easy","non","4",1,NA
33,"diff","com","1",1,5
33,"diff","com","2",1,NA
33,"diff","com","3",3,NA
33,"diff","com","4",1,NA
33,"diff","non","1",1,5
33,"diff","non","2",1,NA
33,"diff","non","3",2,NA
33,"diff","non","4",1,NA
33,"easy","com","1",1,2
33,"easy","com","2",1,NA
33,"easy","com","3",2,NA
33,"easy","com","4",1,NA
33,"easy","non","1",1,1
33,"easy","non","2",1,NA
33,"easy","non","3",1,NA
33,"easy","non","4",1,NA
34,"diff","com","1",5,6
34,"diff","com","2",5,NA
34,"diff","com","3",6,NA
34,"diff","com","4",2,NA
34,"diff","non","1",3,4
34,"diff","non","2",3,NA
34,"diff","non","3",4,NA
34,"diff","non","4",2,NA
34,"easy","com","1",2,4
34,"easy","com","2",2,NA
34,"easy","com","3",3,NA
34,"easy","com","4",1,NA
34,"easy","non","1",1,2
34,"easy","non","2",1,NA
34,"easy","non","3",1,NA
34,"easy","non","4",1,NA
35,"diff","com","1",5,7
35,"diff","com","2",2,NA
35,"diff","com","3",6,NA
35,"diff","com","4",2,NA
35,"diff","non","1",5,6
35,"diff","non","2",2,NA
35,"diff","non","3",6,NA
35,"diff","non","4",4,NA
35,"easy","com","1",5,7
35,"easy","com","2",2,NA
35,"easy","com","3",6,NA
35,"easy","com","4",4,NA
35,"easy","non","1",2,5
35,"easy","non","2",2,NA
35,"easy","non","3",4,NA
35,"easy","non","4",2,NA
37,"diff","com","1",5,6
37,"diff","com","2",5,NA
37,"diff","com","3",6,NA
37,"diff","com","4",6,NA
37,"diff","non","1",2,3
37,"diff","non","2",2,NA
37,"diff","non","3",2,NA
37,"diff","non","4",2,NA
37,"easy","com","1",4,5
37,"easy","com","2",2,NA
37,"easy","com","3",4,NA
37,"easy","com","4",5,NA
37,"easy","non","1",1,2
37,"easy","non","2",1,NA
37,"easy","non","3",1,NA
37,"easy","non","4",1,NA
39,"diff","com","1",2,7
39,"diff","com","2",2,NA
39,"diff","com","3",7,NA
39,"diff","com","4",1,NA
39,"diff","non","1",2,7
39,"diff","non","2",2,NA
39,"diff","non","3",6,NA
39,"diff","non","4",1,NA
39,"easy","com","1",2,6
39,"easy","com","2",2,NA
39,"easy","com","3",7,NA
39,"easy","com","4",1,NA
39,"easy","non","1",2,6
39,"easy","non","2",2,NA
39,"easy","non","3",6,NA
39,"easy","non","4",1,NA
40,"diff","com","1",4,7
40,"diff","com","2",4,NA
40,"diff","com","3",6,NA
40,"diff","com","4",3,NA
40,"diff","non","1",3,2
40,"diff","non","2",1,NA
40,"diff","non","3",3,NA
40,"diff","non","4",2,NA
40,"easy","com","1",4,5
40,"easy","com","2",2,NA
40,"easy","com","3",4,NA
40,"easy","com","4",3,NA
40,"easy","non","1",1,4
40,"easy","non","2",1,NA
40,"easy","non","3",3,NA
40,"easy","non","4",2,NA
41,"diff","com","1",1,7
41,"diff","com","2",2,NA
41,"diff","com","3",2,NA
41,"diff","com","4",2,NA
41,"diff","non","1",1,6
41,"diff","non","2",1,NA
41,"diff","non","3",1,NA
41,"diff","non","4",1,NA
41,"easy","com","1",1,5
41,"easy","com","2",1,NA
41,"easy","com","3",1,NA
41,"easy","com","4",1,NA
41,"easy","non","1",1,3
41,"easy","non","2",1,NA
41,"easy","non","3",1,NA
41,"easy","non","4",1,NA
42,"diff","com","1",3,5
42,"diff","com","2",2,NA
42,"diff","com","3",3,NA
42,"diff","com","4",3,NA
42,"diff","non","1",3,5
42,"diff","non","2",2,NA
42,"diff","non","3",2,NA
42,"diff","non","4",2,NA
42,"easy","com","1",2,4
42,"easy","com","2",2,NA
42,"easy","com","3",3,NA
42,"easy","com","4",3,NA
42,"easy","non","1",3,4
42,"easy","non","2",2,NA
42,"easy","non","3",3,NA
42,"easy","non","4",3,NA
43,"diff","com","1",2,3
43,"diff","com","2",2,NA
43,"diff","com","3",2,NA
43,"diff","com","4",2,NA
43,"diff","non","1",1,2
